ts_code,name,action,position_hint,confidence,position,headline,signal_date,entry_date,entry_price,exit_date,exit_price,execution
601006.SH,大秦铁路,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
600999.SH,招商证券,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601012.SH,隆基绿能,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601018.SH,宁波港,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601021.SH,春秋航空,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601058.SH,赛轮轮胎,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601059.SH,信达证券,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601066.SH,中信建投,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601077.SH,渝农商行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601111.SH,中国国航,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601100.SH,恒立液压,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601117.SH,中国化学,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601127.SH,赛力斯,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601136.SH,首创证券,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601138.SH,工业富联,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601169.SH,北京银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601186.SH,中国铁建,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601166.SH,兴业银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601211.SH,国泰海通,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601225.SH,陕西煤业,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601238.SH,广汽集团,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601229.SH,上海银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601288.SH,农业银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601319.SH,中国人保,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601318.SH,中国平安,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601328.SH,交通银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601336.SH,新华保险,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601360.SH,三六零,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601377.SH,兴业证券,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601390.SH,中国中铁,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601398.SH,工商银行,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601456.SH,国联民生,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601600.SH,中国铝业,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601601.SH,中国太保,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601607.SH,上海医药,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601618.SH,中国中冶,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601628.SH,中国人寿,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
601633.SH,长城汽车,观望,0%,常规,0.0,观望　仓位 0%,,,,,,"T日收盘生成信号，T+1日开盘成交。禁止使用T日收盘价作为成交价。账本字段：signal_date, entry_date, entry_price, exit_date, exit_price。"
